,Product URL,Product Name,Product Price,Rating,Number of reviews,Product Dimensions,Date First Available,Manufacturer,ASIN,Country of Origin,Department,Packer,Importer,Item Weight,Item Dimensions LxWxH,Net Quantity,Generic Name,Color,Shipping Weight,Item Model Number,Item Part Number,Primary material,Capacity,What is in the box?,Item Shape,Footboard upholstery,Imported By,Item model number,Included Components,Is Discontinued By Manufacturer,Brand,Model,Special Features,Mounting Hardware,Batteries Required,Material,Series,Colour,Item Height,Item Width,Standing screen display size,Item part number,Age Range,Batteries Included,Handle Type,Material Type,Outer Material,Season,Size,Sport,Style,Model Number,Target gender,Additional product features,Number of items,Batteries required,Manufacturer recommended age,Are Batteries Included,Best,,Batteries,Compatible Devices,Package Dimensions,Model Name,Battery cell composition,Is Assembly Required,Number of Pieces,Weight,Other display features,Form factor,Whats in the box,Lithium Battery Energy Content,Number of Lithium Ion Cells,Number of Lithium Metal Cells
0,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-3,Skybags Brat Black 46 Cms Casual Backpack,649,4.1,"5,525",10.01 x 19.99 x 11.99 cm; 358 Grams,15 March 2021,VIP Industries Ltd,B08Z1HHHTD,Bangladesh,Unisex-adult,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India","VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",358 g,10 x 20 x 12 Centimeters,1 count,Backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-4,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4.0,"55,249",,18 April 2018,Samsonite,B07CJCGM1M,India,,Samsonite India,"SAMSONITE SOUTH ASIA PVT. LTD GAT NO.159 TO 163,GONDE,TALUKA-IGATPURI NASIK 422403;Tel No. 02553-229700",480 g,22 x 31.5 x 49.5 Centimeters,1 Count,Backpack,Black-Grey,0.48 Kilograms,AMT FIZZ SCH BAG 02 - BLACK,AMT FIZZ SCH BAG 02 - BLACK,Polyester,L,Backpack,Rectangular,Polyester,"SAMSONITE SOUTH ASIA PVT. LTD GAT NO.159 TO 163,GONDE,TALUKA-IGATPURI NASIK 422403;Tel No. 02553-229700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442",22 x 30 x 50 cm; 660 Grams,11 March 2022,Amazing Bags,B09VCLZ3K4,India,unisex-adult,,,660 g,22 x 30 x 50 Centimeters,1 Count,,,,,,,,,,,,laptop bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-6,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0,"5,611",30 x 18 x 42 cm; 600 Grams,17 March 2022,"FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",B09VTDMRY7,India,unisex-adult,"Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",,600 g,30 x 18 x 42 Centimeters,1.00 Unit,Anti Theft Laptop Backpack,,,,,,,,,,,BM83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-7,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),599,3.7,"2,462",5 x 13 x 17 cm; 680 Grams,15 January 2022,,B09QJ7ZF2Y,India,Unisex-adult,,,680 g,50 x 130 x 170 Millimeters,1 Count,,,,,,,,,,,,LEGEND-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-8,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9,"16,960",21 x 33 x 48 cm; 600 Grams,28 February 2020,"Amazing Bags, Half_Moon, New Delhi",B085MHDJ93,India,Unisex Adult and Child,,,600 g,21 x 33 x 48 Centimeters,1 Count,laptop bag,,,,,,,,,,,bag for men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-9,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442",22 x 30 x 50 cm; 700 Grams,13 October 2022,Amazing Bags,B0BJ32LQ6X,India,unisex-adult,,,700 g,22 x 30 x 50 Centimeters,1 Count,bag,,,,,,,,,,,laptop bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-10,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3,"5,600",35 x 25 x 65 cm; 700 Grams,24 September 2019,"Fur Jaden, Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07YDGQQN5,India,Unisex-adult,"Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",,700 g,35 x 25 x 65 Centimeters,1 count,Rucksack,,,,,,,,,,,BM110_BlackGrey,1 Rucksack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-13,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1,"5,853",18 x 31 x 52 cm; 610 Grams,16 August 2021,,B09CQ5T3LN,India,unisex-adult,,,610 g,18 x 31 x 52 Centimeters,1 Count,,,,,,,,,,,,Backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692690487&sprefix=ba%2Caps%2C283&sr=8-14,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,4.3,"6,506",28 x 27 x 47 cm; 900 Grams,20 December 2018,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07M9BRCQ5,India,,,,900 g,28 x 27 x 47 Centimeters,1 count,Duffle Bag,,,,,,,,,,,DUFF05,1 Duffle Bag,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
